Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss
18-08-2013,19,26,21.4,86,7,4.2
19-08-2013,16,26.1,20.1,79,3,6
20-08-2013,17,26,21,80,0,8
21-08-2013,18,26.8,21.2,78,0,6.6
22-08-2013,17,28,21.2,76,0,6.2
23-08-2013,17,28.6,22,74,0,8
24-08-2013,17,27.4,21.3,74,0,8
25-08-2013,17,26.9,20.9,76,0,7.8
26-08-2013,16,27.7,21.1,74,0,7.4
27-08-2013,17,27.8,21.5,78,0,8
28-08-2013,18,26.7,21.8,81,0,8
29-08-2013,18,26.2,21.1,87,0,6.1
30-08-2013,19,25.9,21.1,90,2,4
31-08-2013,18,27.4,21.2,89,34,6.1
01-09-2013,18,29.6,22.4,76,1,5.8
02-09-2013,19,28.6,22.1,82,0,7.3
03-09-2013,17,26.7,21.6,78,0,6.4
04-09-2013,18,25.4,21.2,86,10.33774296,6.2
05-09-2013,18,26.2,20.9,85,10.33774296,3.4
06-09-2013,17,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
07-09-2013,17,25.8,20.6,83,0,4.2
08-09-2013,18,26,20.9,82,1,4.2
09-09-2013,18.67801939,25.90331108,21.51795008,85.83150868,3,6.2
10-09-2013,18.67801939,25.90331108,21.51795008,85.83150868,0,8.1
11-09-2013,18.67801939,25.7,21.51795008,85.83150868,0,6.5
12-09-2013,18,25.90331108,21.51795008,85.83150868,10.33774296,9.3
13-09-2013,18,27.2,21.6,84,0,9.3
14-09-2013,18,27.4,21.1,86,10.33774296,6.7
15-09-2013,18,25.4,20.9,93,10.33774296,5.6
16-09-2013,18,25.1,20.7,91,6.6,4.5
17-09-2013,18,25.2,20.5,90,7.2,2.5
18-09-2013,18,26,21.2,90,0.5,4.5
19-09-2013,18,25,21.1,91,7.3,3.2
20-09-2013,18,25.4,20.6,91,12.9,4.8
21-09-2013,19,26.6,21.9,87,2.4,4.4
22-09-2013,18,26,21.5,82,5.2,6.8
23-09-2013,17,26.4,21.4,79,0,3.808420209
24-09-2013,18,25.90331108,22.4,80,10.33774296,6.9
25-09-2013,17,28.1,22.3,80,10.33774296,8.4
26-09-2013,18,25.90331108,21.9,76,0,8.9
27-09-2013,18,25.90331108,21.7,85,2.4,7.8
28-09-2013,18,26,21.6,86,1.5,6.2
29-09-2013,18,27,21.3,84,0,3.8
30-09-2013,17,27,20.6,87,19.1,8.9
01-10-2013,18,26.4,21.1,82,0.5,3.808420209
02-10-2013,18,26.9,21.6,90,2.6,4.2
03-10-2013,17,26.4,20.7,87,15.7,5.3
04-10-2013,17,25.90331108,21,80,14.7,7.1
05-10-2013,18,25.90331108,21.8,81,0,3.808420209
06-10-2013,18,25.90331108,22,81,0.5,7.4
07-10-2013,18,25.90331108,20.8,86,4.2,8.3
08-10-2013,18,26.7,21.51795008,85.83150868,1.7,5.6
09-10-2013,18,27.2,21.3,80,4.5,6.2
10-10-2013,18,27.4,22.2,80,10.33774296,7.8
11-10-2013,17,27.6,21.5,82,10.33774296,9.6
12-10-2013,18,26.7,22,84,9.5,8
13-10-2013,20,24.2,20.3,92,0.6,7
14-10-2013,19,26.8,20.9,83,39,1
15-10-2013,18,26.6,21.3,80,10.33774296,3.808420209
16-10-2013,18,28.2,22.2,75,10.33774296,7.8
17-10-2013,17,28.2,21.51795008,85.83150868,10.33774296,9.1
18-10-2013,18,27.8,23.1,74,10.33774296,3.808420209
19-10-2013,19,26.7,21.9,88,5.6,9.2
20-10-2013,19,25.90331108,21.5,90,32.7,4.8
21-10-2013,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
22-10-2013,18,25.90331108,21.4,85,0.9,4.7
23-10-2013,18,26.8,21.51795008,85.83150868,11.3,2.8
24-10-2013,18,25.5,20.9,88,5.6,5.2
25-10-2013,19,27.7,22.3,82,1.3,4.6
26-10-2013,18,28.4,21.7,86,10.33774296,7.3
27-10-2013,19,26.4,21.7,91,10.33774296,3.808420209
28-10-2013,18,26.6,20.8,91,7,6.2
29-10-2013,18,27,21.51795008,85.83150868,32.1,2
30-10-2013,18,27,21.6,86,4.1,5.8
31-10-2013,18,25,21,90,4.5,6.2
01-11-2013,19,26.2,21.3,88,0.5,2.1
02-11-2013,17,27.4,21.8,77,0.5,3.808420209
03-11-2013,18,27.3,21.7,84,10.33774296,8.4
04-11-2013,18,26.8,21.4,90,36.7,6.1
05-11-2013,18,26.4,21.6,91,25,3.2
06-11-2013,19,26,21.9,89,3.4,3.5
07-11-2013,19,26.8,21.3,90,0,5.2
08-11-2013,18,24.6,21.51795008,85.83150868,4,6.5
09-11-2013,18,27.2,23.2,75,8,3.6
10-11-2013,20,26.8,22.3,88,10.33774296,1.5
11-11-2013,19,26.3,21.5,89,19,3.1
12-11-2013,19,26.2,21.1,88,2,3.1
13-11-2013,19,25.90331108,19.8,91,14.2,2.9
14-11-2013,18,25.6,21.51795008,85.83150868,45.6,1.5
15-11-2013,18.67801939,25.6,21.4,89,32,2.7
16-11-2013,18,25.5,21.51795008,85.83150868,17.6,3.3
17-11-2013,18.67801939,25.90331108,21.51795008,85.83150868,2,1.1
18-11-2013,19,26.2,21.5,79,44.5,0.5
19-11-2013,17,27,20.6,72,0.6,5.8
20-11-2013,17,25,21.4,65,10.33774296,3.808420209
21-11-2013,17,27,21.1,75,10.33774296,7.4
22-11-2013,16,27.8,21.2,76,10.33774296,9.7
23-11-2013,18,27.2,22,75,10.33774296,8.8
24-11-2013,18.67801939,26.6,22.3,85,0,9.8
25-11-2013,20,25.6,21.5,88,0.5,6.2
26-11-2013,19,26.5,19.9,90,1.6,2.9
27-11-2013,17,25.90331108,22.5,80,1.3,0
28-11-2013,18.67801939,25.90331108,21.51795008,85.83150868,10.33774296,3.808420209
29-11-2013,19,27.3,22.3,83,10.33774296,7.2
30-11-2013,18,27.2,22.3,76,10.33774296,3.7
01-12-2013,19,27.2,21.7,87,10.33774296,3.808420209
02-12-2013,19,25.2,21.6,91,10.3,2.7
03-12-2013,20,25.90331108,22,86,2.1,0.3
04-12-2013,19,25.6,21.51795008,85.83150868,0.1,1.5
05-12-2013,18.67801939,27,24.6,78,10.33774296,3.808420209
06-12-2013,20,25.8,21.3,90,22.2,3.808420209
07-12-2013,19,25.90331108,22.1,88,40.6,2
