Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
2013-08-18,24,"30,8",27,84.0,,"0,7",4.0,360.0,0.0,N 
2013-08-19,"22,8","33,6","26,4",81.0,0,"6,1",3.0,90.0,0.0,N 
2013-08-20,23,"34,4","27,3",77.0,0,"7,2",6.0,180.0,2.0,SW
2013-08-21,"21,4","34,4","26,8",76.0,0,8,3.0,320.0,2.0,W 
2013-08-22,"21,4",34,"27,5",72.0,0,"5,4",5.0,180.0,1.0,S 
2013-08-23,"21,8","35,2","27,9",66.0,0,"4,7",4.0,180.0,2.0,SW
2013-08-24,22,34,"26,7",77.0,0,"3,5",3.0,180.0,0.0,S 
2013-08-25,"21,8","34,6","27,3",76.0,0,6,2.0,90.0,0.0,N 
2013-08-26,"22,8","34,2","27,4",77.0,0,"7,4",8.0,330.0,2.0,NW
2013-08-27,"22,8","33,6","26,5",84.0,0,"3,6",5.0,180.0,1.0,N 
2013-08-28,"23,4","33,2","26,4",85.0,"0,5",1,5.0,200.0,1.0,SW
2013-08-29,"22,6",32,"26,2",82.0,,"1,3",3.0,120.0,1.0,SE
2013-08-30,24,33,"27,4",84.0,0,"3,9",6.0,340.0,1.0,N 
2013-08-31,"23,6",30,"26,3",89.0,,"3,9",3.0,180.0,0.0,N 
2013-09-01,24,30,"25,4",93.0,"6,4","0,8",0.0,0.0,0.0,N 
2013-09-02,"23,4","32,6","25,9",89.0,"10,8","4,1",6.0,350.0,1.0,SE
2013-09-03,"23,2","30,2","25,9",93.0,"77,3","4,3",4.0,340.0,0.0,N 
2013-09-04,"23,6","28,2","25,4",93.0,"17,8",0,3.0,360.0,0.0,N 
2013-09-05,"22,4","30,6","25,7",84.0,39,1,5.0,330.0,1.0,NW
2013-09-06,23,"28,4","24,7",81.0,0,0,5.0,230.0,2.0,SW
2013-09-07,"22,2","31,8","26,4",80.0,,"3,1",5.0,330.0,0.0,NW
2013-09-08,"22,2",33,"26,9",78.0,0,"4,7",3.0,340.0,1.0,N 
2013-09-09,"22,6","31,8","26,2",81.0,0,"2,6",4.0,360.0,0.0,N 
2013-09-10,23,"31,4","25,5",84.0,"2,8",1,6.0,180.0,1.0,SW
2013-09-11,"22,8",30,"24,6",92.0,"18,8",0,0.0,0.0,0.0,N 
2013-09-12,"22,2",32,"26,5",79.0,"14,6","4,3",5.0,330.0,1.0,NW
2013-09-13,"22,4","33,6","26,8",74.0,0,"5,1",4.0,160.0,0.0,W 
2013-09-14,"21,6",33,"26,4",69.0,0,"3,9",3.0,340.0,0.0,N 
2013-09-15,23,"34,2","27,7",70.0,0,"6,6",5.0,200.0,2.0,S 
2013-09-16,"21,6",34,"26,7",73.0,0,0,2.0,270.0,0.0,W 
2013-09-17,"21,6",34,"27,2",71.0,0,"7,9",3.0,160.0,1.0,W 
2013-09-18,"20,2","34,4","26,2",76.0,0,8,6.0,350.0,1.0,N 
2013-09-19,"22,2",34,"27,4",69.0,0,"7,1",6.0,180.0,1.0,S 
2013-09-20,"27,2","33,6","30,1",58.0,0,"6,4",7.0,180.0,3.0,S 
2013-09-21,27,"34,4","29,7",65.0,0,"6,4",8.0,200.0,2.0,S 
2013-09-22,27,"34,4","29,8",63.0,0,"6,2",8.0,180.0,2.0,S 
2013-09-23,22,"34,6","27,2",73.0,0,"5,4",4.0,180.0,0.0,SW
2013-09-24,"22,6","33,8","27,3",72.0,0,"4,2",8.0,180.0,1.0,S 
2013-09-25,"26,2","35,4","29,4",64.0,0,7,6.0,160.0,2.0,N 
2013-09-26,"23,6",35,"28,2",73.0,0,4,8.0,180.0,2.0,W 
2013-09-27,"23,6","32,6","27,4",74.0,0,"2,5",7.0,180.0,2.0,S 
2013-09-28,"22,6","34,6","28,1",70.0,0,"7,3",5.0,230.0,1.0,SW
2013-09-29,"24,8",34,"30,1",60.0,0,"6,3",6.0,200.0,1.0,SW
2013-09-30,"24,8","34,2","27,9",74.0,0,6,6.0,270.0,1.0,W 
2013-10-01,"23,2","34,6","27,4",76.0,0,"4,7",6.0,270.0,1.0,S 
2013-10-02,24,34,"27,8",74.0,,"6,4",4.0,270.0,1.0,W 
2013-10-03,"23,6","33,4","26,3",80.0,"0,3","1,3",3.0,180.0,1.0,S 
2013-10-04,"21,8","33,8","26,3",79.0,"1,5",4,6.0,350.0,1.0,N 
2013-10-05,"22,4","30,8","25,7",82.0,,2,4.0,340.0,1.0,N 
2013-10-06,23,"33,2","27,3",77.0,0,"5,1",5.0,330.0,1.0,N 
2013-10-07,23,"30,4","25,8",79.0,"2,5","0,1",6.0,270.0,1.0,W 
2013-10-08,"23,2","27,8","24,4",90.0,"8,4","0,1",9.0,270.0,1.0,N 
2013-10-09,"22,6",33,"26,8",79.0,"27,2","5,3",3.0,140.0,0.0,S 
2013-10-10,22,"32,6",26,84.0,"1,3","6,1",4.0,360.0,0.0,N 
2013-10-11,"22,4","33,6","27,1",77.0,0,"7,8",5.0,350.0,1.0,N 
2013-10-12,22,"33,6","26,3",80.0,0,"5,9",2.0,270.0,0.0,W 
2013-10-13,"22,4","32,2","26,3",83.0,,"6,9",5.0,340.0,2.0,N 
2013-10-14,"23,4","32,4","26,9",80.0,0,"6,4",7.0,350.0,2.0,N 
2013-10-15,"23,2","32,4","26,8",81.0,0,"5,8",3.0,340.0,0.0,NW
2013-10-16,"23,2","31,4","26,8",85.0,0,"0,8",4.0,360.0,1.0,N 
2013-10-17,23,33,"25,9",88.0,0,"4,1",4.0,270.0,1.0,SE
2013-10-18,24,32,"26,2",87.0,3,0,6.0,240.0,1.0,SE
2013-10-19,"22,8","31,8","26,1",87.0,"17,3",0,3.0,180.0,0.0,S 
2013-10-20,"22,8",32,"26,9",75.0,,"0,2",8.0,340.0,1.0,NW
2013-10-21,23,"31,4","25,9",86.0,3,"1,2",3.0,360.0,0.0,N 
